"date","banking_indicator","common_signal","seasonal_component","trend_slope"
"dic-96",-1.59457476996879,-1.43129040400055,0.163284365968243,0.00910368296928821
"ene-97",-1.55753218757039,-1.51074801743884,0.0467841701315472,0.00845679442657088
"feb-97",-1.52713167099691,-1.5229425555017,0.00418911549521006,0.00730182780162947
"mar-97",-1.50852915530969,-1.52539878105594,-0.0168696257462526,0.00588520858236947
"abr-97",-1.49193387347837,-1.55070215685124,-0.0587682833728707,0.00422061167544206
"may-97",-1.49006769462591,-1.55698539022931,-0.0669176956033979,0.00261052857002104
"jun-97",-1.50592956450566,-1.49916543405101,0.00676413045465041,0.00142814960319651
"jul-97",-1.51056247281087,-1.52387005554699,-0.013307582736116,0.00038610647628746
"ago-97",-1.51958647253183,-1.53175743658991,-0.0121709640580845,-0.000438057993654604
"sep-97",-1.52968900498261,-1.52074819662933,0.00894080835328204,-0.00103845424346459
"oct-97",-1.53813591634414,-1.55969613756935,-0.021560221225212,-0.00146731739330235
"nov-97",-1.55054134510469,-1.59090956277044,-0.0403682176657467,-0.00164292293217393
"dic-97",-1.60477918276821,-1.44149481678945,0.163284365978754,-0.000600762258341801
"ene-98",-1.59281477444633,-1.54603060431976,0.0467841701265721,0.000150468384182005
"feb-98",-1.58012061522826,-1.57593149973554,0.00418911549271295,0.000611266330728569
"mar-98",-1.57093192567934,-1.58780155142177,-0.0168696257424252,0.000873465301679889
"abr-98",-1.56124243953965,-1.62001072291412,-0.0587682833744712,0.00093154088234018
"may-98",-1.56591102469774,-1.6328287203065,-0.0669176956087636,0.00111928003054796
"jun-98",-1.58605242589715,-1.57928829543498,0.00676413046217528,0.00179928234513149
"jul-98",-1.59080991099421,-1.60411749373353,-0.0133075827393194,0.00263109800319953
"ago-98",-1.59485324506508,-1.60702420912307,-0.0121709640579848,0.00361745137485288
"sep-98",-1.59918374045577,-1.59024293210108,0.00894080835469158,0.0047878290211131
"oct-98",-1.59732425533678,-1.6188844765565,-0.0215602212197168,0.00602600862658177
"nov-98",-1.59264321580964,-1.63301143350476,-0.0403682176951197,0.00729532922609515
"dic-98",-1.57473244074655,-1.41144807472806,0.163284366018489,0.0083188631114534
"ene-99",-1.55064759879664,-1.50386342868544,0.046784170111192,0.00897735645177513
"feb-99",-1.53441929316114,-1.53023017767231,0.00418911548883094,0.00946796358159404
"mar-99",-1.52189396488235,-1.53876359061774,-0.0168696257353937,0.00988778144505166
"abr-99",-1.50226375644518,-1.56103203982353,-0.0587682833783503,0.0100820261997527
