"date","banking_indicator","common_signal","seasonal_component","trend_slope"
"dic-96",-1.56933817126598,-1.45950687245926,0.109831298806724,0.0049417899644848
"ene-97",-1.54996810524728,-1.5125693570899,0.0373987481573788,0.00455879414465776
"feb-97",-1.53264202124772,-1.52426248905214,0.00837953219557419,0.00383689306500791
"mar-97",-1.52246834220453,-1.52861334774646,-0.00614500554192832,0.00294678321726542
"abr-97",-1.51070467924541,-1.54823156574155,-0.0375268864961411,0.00182263098827391
"may-97",-1.50669122000642,-1.55963264127438,-0.0529414212679546,0.000640323643672277
"jun-97",-1.51750188297465,-1.5134855670235,0.00401631595115481,-0.000238019458162091
"jul-97",-1.52119724094831,-1.52750901729407,-0.0063117763457623,-0.00102458817238532
"ago-97",-1.52677708830337,-1.54185435882507,-0.0150772705216966,-0.00169023840552054
"sep-97",-1.53563160059616,-1.52630459125234,0.00932700934381669,-0.00216571436276794
"oct-97",-1.54183267035653,-1.56692201869115,-0.0250893483346208,-0.00253407258515971
"nov-97",-1.55247312731771,-1.57851154971561,-0.0260384223978987,-0.00268724838948161
"dic-97",-1.59382982210051,-1.4828853307746,0.110944491325912,-0.0018139511579384
"ene-98",-1.59056520576585,-1.55339430807014,0.0371708976957026,-0.00107546352617486
"feb-98",-1.58693622321606,-1.57881019259232,0.00812603062374317,-0.000461854512960213
"mar-98",-1.58429393727094,-1.59044614790006,-0.00615221062911742,6.93556873169365e-05
"abr-98",-1.57836908755096,-1.61608617827856,-0.037717090727599,0.000445132921860364
"may-98",-1.58046434002484,-1.63459902851496,-0.0541346884901235,0.000888344199366391
"jun-98",-1.59577228176476,-1.59085676148564,0.00491552027911246,0.00176148277990993
"jul-98",-1.59928990518807,-1.60599623475018,-0.00670632956210437,0.0027747542218336
"ago-98",-1.59981207302069,-1.61465101507139,-0.0148389420507056,0.00387554182718554
"sep-98",-1.6026459803555,-1.59349303225565,0.0091529480998469,0.00515443047335005
"oct-98",-1.5981781235565,-1.62306252899114,-0.0248844054346369,0.00645154408598264
"nov-98",-1.59105327249658,-1.61967662577347,-0.0286233532768903,0.00773078489416448
"dic-98",-1.55833085618213,-1.44285679452881,0.115474061653315,0.00834662764088262
"ene-99",-1.54199839736217,-1.5054596472766,0.0365387500855645,0.00875048803101583
"feb-99",-1.53483850027471,-1.52680118445052,0.0080373158241891,0.0091965703525945
"mar-99",-1.52903668271089,-1.53528253520638,-0.0062458524954867,0.00973276573567566
"abr-99",-1.51305291591365,-1.55137246949568,-0.0383195535820369,0.0101030294948178
"may-99",-1.4934077708076,-1.54986557972413,-0.0564578089165255,0.0102199996256932
"jun-99",-1.48883391536796,-1.4822046739176,0.00662924145036126,0.0104868455707873
"jul-99",-1.49171594665513,-1.4987622880419,-0.00704634138676963,0.0111085657872872
"ago-99",-1.50638932557743,-1.5212610477262,-0.0148717221487709,0.0124146627798952
"sep-99",-1.51076020002477,-1.50133777679371,0.00942242323105669,0.0141663286379329
"oct-99",-1.50395550511888,-1.52865203424907,-0.0246965291301917,0.0161134076510748
"nov-99",-1.50765620781877,-1.53703862833713,-0.0293824205183626,0.0185864484221909
"dic-99",-1.52855833396083,-1.40982602115036,0.118732312810468,0.0221077058293214
"ene-00",-1.49362494869483,-1.45823238465317,0.0353925640416635,0.0252885080363829
"feb-00",-1.39286059269029,-1.38509532835891,0.00776526433137481,0.0264658183390002
"mar-00",-1.30127318664397,-1.30690395474789,-0.00563076810391561,0.0259144885893561
"abr-00",-1.23999479139071,-1.27874610489611,-0.0387513135054054,0.0244244307218039
"may-00",-1.20923377516785,-1.26908493060042,-0.0598511554325736,0.0227661694077858
"jun-00",-1.17299643238275,-1.16522312807403,0.00777330430871248,0.0207503183808809
"jul-00",-1.17827496086448,-1.186542822538,-0.00826786167352234,0.0194253981003686
"ago-00",-1.18988359404585,-1.20422078415412,-0.0143371901082707,0.0189242702264216
"sep-00",-1.20439730583615,-1.19404210236862,0.0103552034675345,0.0193107471701074
"oct-00",-1.23657137601069,-1.26201119395897,-0.0254398179482798,0.021063878712961
"nov-00",-1.22043550919868,-1.25194469420717,-0.0315091850084901,0.0229478233862976
"dic-00",-1.18788659044876,-1.06239842843078,0.125488162017977,0.0245769088251552
"ene-01",-1.14489084979352,-1.10628561678265,0.0386052330108677,0.0257170699066943
"feb-01",-1.11501828259561,-1.108358803102,0.00665947949360857,0.0267469241098608
"mar-01",-1.07623382068556,-1.08318629538977,-0.00695247470421134,0.0274572441814958
"abr-01",-1.0430214305532,-1.08423868818483,-0.0412172576316312,0.0280147950079767
"may-01",-1.0094338815302,-1.07203789562368,-0.0626040140934767,0.0284244181482491
"jun-01",-0.991231796636587,-0.984997926155558,0.00623387048102853,0.0291053911636344
"jul-01",-0.958249663157305,-0.968059078438626,-0.00980941528132129,0.029683456797995
"ago-01",-0.929996965888584,-0.943786042753924,-0.0137890768653406,0.0302995016695722
"sep-01",-0.88367004113222,-0.873837319502091,0.00983272163012983,0.0304901016701354
"oct-01",-0.819110460942861,-0.841814693867779,-0.0227042329249179,0.0297763338995582
"nov-01",-0.78505363766772,-0.818019663252512,-0.0329660255847921,0.0289489413597083
"dic-01",-0.758474290719509,-0.625300300755915,0.133173989963594,0.0281844492489102
"ene-02",-0.729437714818352,-0.688982362896727,0.0404553519216244,0.0273973375996068
"feb-02",-0.693599675304284,-0.687157004872987,0.0064426704312972,0.0263861691373136
"mar-02",-0.65864267239667,-0.667775782863593,-0.00913311046692311,0.0251474895368829
"abr-02",-0.62149137910779,-0.664902257719022,-0.0434108786112325,0.0235901712687579
"may-02",-0.59721759853593,-0.664078213485984,-0.066860614950054,0.022014706722831
"jun-02",-0.601789021819014,-0.595888635792871,0.00590038602614318,0.0211449658974223
"jul-02",-0.586184620917487,-0.598215222752573,-0.0120306018350858,0.0204222983068847
"ago-02",-0.574853780637916,-0.586724841976434,-0.0118710613385172,0.0199409617255066
"sep-02",-0.573704150229698,-0.563268262502119,0.0104358877275795,0.0199584374288715
"oct-02",-0.559470001435932,-0.58137312490745,-0.0219031234715183,0.0201278632758635
"nov-02",-0.550803611816597,-0.585675101653463,-0.0348714898368661,0.0206015317422102
"dic-02",-0.557059178267994,-0.415850625846582,0.141208552421413,0.0217881167276328
"ene-03",-0.519642328405193,-0.476802501160829,0.042839827244364,0.0225598399903193
"feb-03",-0.491103483985278,-0.484721095313891,0.00638238867138757,0.0231728517274808
"mar-03",-0.464480073593739,-0.475598850609446,-0.0111187770157071,0.0236942690468866
"abr-03",-0.434155767681475,-0.480327813173231,-0.0461720454917561,0.0240396933096586
"may-03",-0.412627969447205,-0.485746425167915,-0.0731184557207102,0.0244517953453054
"jun-03",-0.398106398079759,-0.39081620994287,0.0072901881368897,0.0251274932713535
"jul-03",-0.375745721977305,-0.39041755858404,-0.0146718366067355,0.0258766358283424
"ago-03",-0.36894248288552,-0.379269753909234,-0.0103272710237142,0.0271320780425152
"sep-03",-0.356607521565153,-0.34491879304845,0.0116887285167027,0.0287803068812842
"oct-03",-0.335951728806735,-0.357105669165048,-0.0211539403583129,0.0306441993887749
"nov-03",-0.324779430825834,-0.36297108308458,-0.0381916522587465,0.0330249697834975
"dic-03",-0.335643951993505,-0.183062601787401,0.152581350206104,0.0365707782954193
"ene-04",-0.294393963162719,-0.250218391854608,0.0441755713081107,0.0399923780613758
"feb-04",-0.237818045149766,-0.231263818150513,0.00655422699925259,0.0429737709408323
"mar-04",-0.184191203166803,-0.197455057443981,-0.0132638542771782,0.0456723800932429
"abr-04",-0.13744855398445,-0.186620752303295,-0.0491721983188446,0.0483425791580119
"may-04",-0.0789396037895595,-0.159223685215287,-0.0802840814257279,0.0507429138540022
"jun-04",-0.00211421592571013,0.00745211852815699,0.00956633445386712,0.0524508942812647
"jul-04",0.0710892727382166,0.0522216866760696,-0.018867586062147,0.0536080010719776
"ago-04",0.174923745741274,0.166762665548318,-0.00816108019295678,0.053431855801115
"sep-04",0.281298249049346,0.294259872438336,0.01296162338899,0.0518503581091074
"oct-04",0.351150514062549,0.33019942647401,-0.0209510875885387,0.0497910032519555
"nov-04",0.411883198452913,0.368225658054905,-0.0436575403980078,0.0474412035681214
"dic-04",0.500737469045058,0.668182130730586,0.167444661685528,0.0439921019651378
"ene-05",0.536613712658741,0.582574361659879,0.0459606490011383,0.0407584342650844
"feb-05",0.547496878081077,0.553815569311036,0.00631869122995854,0.0383177998449592
