"lag","ccf"
-12,0.846297681076833
-11,0.842396775609976
-10,0.837492146858853
-9,0.836245691398663
-8,0.836354008460903
-7,0.831922742798574
-6,0.830366605664657
-5,0.825508445068283
-4,0.821194357583853
-3,0.821387642704844
-2,0.819539964749365
-1,0.819627595909503
0,0.81725198001658
1,0.801136643000323
2,0.784803078294992
3,0.768229436867994
4,0.749827228346606
5,0.734016186306459
6,0.716326905939798
7,0.701789229945632
8,0.685148478176484
9,0.666038591200119
10,0.649127295134371
11,0.632868746147686
12,0.619262633042862
