"lag_order","p_banking_causes_ipi","p_ipi_causes_banking"
1,2.26494678218857e-07,9.84458461440563e-08
2,3.14970814379369e-06,0.0524324455566696
3,0.000113968524291951,0.0821776234719899
4,0.000694243913133646,0.0147754878599905
5,0.00326979356400355,0.0299242545915923
6,0.00258720207202944,0.0799251539694653
7,0.00542538559047807,0.245797812454151
8,0.00729912298669193,0.332258380487293
9,0.0195743257884806,0.455357542075028
10,0.0202619153029039,0.505987851321802
11,0.00442061880345128,0.60260849337328
12,0.000497320846297882,0.741423073761965
