Anio	Mes	IPI
1996	Diciembre	107,7
1997	Enero	99,4
1997	Febrero	107,4
1997	Marzo	105
1997	Abril	116
1997	Mayo	118,4
1997	Junio	112,3
1997	Julio	121,2
1997	Agosto	112,5
1997	Septiembre	119,6
1997	Octubre	127,1
1997	Noviembre	127,7
1997	Diciembre	120,1
1998	Enero	106,3
1998	Febrero	117
1998	Marzo	122,8
1998	Abril	116,9
1998	Mayo	119,2
1998	Junio	113,6
1998	Julio	116
1998	Agosto	109,8
1998	Septiembre	112,6
1998	Octubre	117,4
1998	Noviembre	114,2
1998	Diciembre	100,5
1999	Enero	88,2
1999	Febrero	94,5
1999	Marzo	96,7
1999	Abril	92,5
1999	Mayo	94,9
1999	Junio	96,9
1999	Julio	96,1
1999	Agosto	100,1
1999	Septiembre	103,1
1999	Octubre	104,8
1999	Noviembre	109
1999	Diciembre	105,3
2000	Enero	91,2
2000	Febrero	99,7
2000	Marzo	106,7
2000	Abril	97
2000	Mayo	107
2000	Junio	108,7
2000	Julio	109,6
2000	Agosto	116,4
2000	Septiembre	113,7
2000	Octubre	116
2000	Noviembre	121,9
2000	Diciembre	108,6
2001	Enero	97,2
2001	Febrero	103,7
2001	Marzo	112,2
2001	Abril	104,5
2001	Mayo	111,7
2001	Junio	106,2
2001	Julio	110,7
2001	Agosto	111,5
2001	Septiembre	114,4
2001	Octubre	116,3
2001	Noviembre	117
2001	Diciembre	107,2
2002	Enero	98,6   
2002	Febrero	104,2   
2002	Marzo	101,2   
2002	Abril	113,2   
2002	Mayo	111,9   
2002	Junio	104,1   
2002	Julio	112,3   
2002	Agosto	111,3   
2002	Septiembre	113,2   
2002	Octubre	117,7   
2002	Noviembre	114,4   
2002	Diciembre	110,3   
2003	Enero	100,5   
2003	Febrero	105,3   
2003	Marzo	111,6   
2003	Abril	106,3   
2003	Mayo	111,7   
2003	Junio	102,3   
2003	Julio	117,2   
2003	Agosto	109,0   
2003	Septiembre	119,7   
2003	Octubre	119,3   
2003	Noviembre	119,7   
2003	Diciembre	114,1   
2004	Enero	100,8   
2004	Febrero	111,2   
2004	Marzo	121,2   
2004	Abril	110,8   
2004	Mayo	115,5   
2004	Junio	114,5   
2004	Julio	121,8   
2004	Agosto	119,3   
2004	Septiembre	124,2   
2004	Octubre	123,8   
2004	Noviembre	129,0   
2004	Diciembre	123,2   
2005	Enero	106,2   
2005	Febrero	116,5   
2005	Marzo	120,0   
2005	Abril	125,7   
2005	Mayo	120,6   
2005	Junio	119,9   
2005	Julio	121,7   
2005	Agosto	128,2   
2005	Septiembre	130,4   
2005	Octubre	126,4   
2005	Noviembre	130,9   
2005	Diciembre	124,3   
2006	Enero	112,0   
2006	Febrero	122,8   
2006	Marzo	134,0   
2006	Abril	122,0   
2006	Mayo	133,5   
2006	Junio	131,0   
2006	Julio	137,4   
2006	Agosto	143,4   
2006	Septiembre	149,1   
2006	Octubre	146,9   
2006	Noviembre	150,8   
2006	Diciembre	138,3   
2007	Enero	126,8   
2007	Febrero	139,3   
2007	Marzo	151,1   
2007	Abril	137,1   
2007	Mayo	147,7   
2007	Junio	145,1   
2007	Julio	150,1   
2007	Agosto	153,8   
2007	Septiembre	157,0   
2007	Octubre	158,6   
2007	Noviembre	162,1   
2007	Diciembre	150,3   
2008	Enero	135,0   
2008	Febrero	150,2   
2008	Marzo	139,2   
2008	Abril	151,3   
2008	Mayo	142,0   
2008	Junio	137,0   
2008	Julio	150,9   
2008	Agosto	139,6   
2008	Septiembre	151,5   
2008	Octubre	146,6   
2008	Noviembre	140,3   
2008	Diciembre	137,6   
2009	Enero	123,5   
2009	Febrero	132,9   
2009	Marzo	137,9   
2009	Abril	129,7   
2009	Mayo	134,4   
2009	Junio	129,1   
2009	Julio	142,0   
2009	Agosto	135,0   
2009	Septiembre	144,6   
2009	Octubre	142,4   
2009	Noviembre	142,4   
2009	Diciembre	139,7   
2010	Enero	122,4   
2010	Febrero	136,1   
2010	Marzo	146,0   
2010	Abril	138,2   
2010	Mayo	141,5   
2010	Junio	138,5   
2010	Julio	143,1   
2010	Agosto	142,2   
2010	Septiembre	150,6   
2010	Octubre	147,5   
2010	Noviembre	150,1   
2010	Diciembre	146,5   
2011	Enero	132,3   
2011	Febrero	141,2   
2011	Marzo	156,3   
2011	Abril	141,3   
2011	Mayo	149,7   
2011	Junio	142,0   
2011	Julio	149,9   
2011	Agosto	155,2   
2011	Septiembre	157,5   
2011	Octubre	153,2   
2011	Noviembre	158,8   
2011	Diciembre	148,9   
2012	Enero	133,7   
2012	Febrero	146,7   
2012	Marzo	154,8   
2012	Abril	137,3   
2012	Mayo	150,3   
2012	Junio	146,3   
2012	Julio	153,3   
2012	Agosto	151,7   
2012	Septiembre	155,0   
2012	Octubre	154,7   
2012	Noviembre	152,0   
2012	Diciembre	144,4   
2013	Enero	133,1   
2013	Febrero	139,6   
2013	Marzo	136,8   
2013	Abril	150,0   
2013	Mayo	147,3   
2013	Junio	138,9   
2013	Julio	154,9   
2013	Agosto	147,4   
2013	Septiembre	156,6   
2013	Octubre	156,0   
2013	Noviembre	152,1   
2013	Diciembre	147,4   
2014	Enero	134,4   
2014	Febrero	145,5   
2014	Marzo	149,9   
2014	Abril	164,3   
2014	Mayo	149,9   
2014	Junio	138,6   
2014	Julio	157,7   
2014	Agosto	147,8   
2014	Septiembre	159,5   
2014	Octubre	156,2   
2014	Noviembre	150,4   
2014	Diciembre	150,6   
