Fecha	EdBxCdR	EdBxAdM	EPxCdR	EPxAdM	ROA	ROE	AdMF	RdS	CadCxCdR	CadCxAdM	CodCxCdR	CodCxAdM	L
dic-96	0,373713813	1,306564929	0,145813047	0,379894959	0,015582941	0,120257019	0,785445086	0,133892031		0,066790642		0,318697133	0,078356414
ene-97	0,376228152	1,274892009	0,083705049	0,332306899	0,020454521	0,168498235	0,721141845	0,149616709		0,073593635		0,300038153	0,087385222
feb-97	0,3579421	1,279192598	0,086642451	0,34627689	0,016706794	0,134564492	0,735113705	0,148858687		0,074622224		0,298673807	0,055555
mar-97	0,357688995	1,279360739	0,136387988	0,408391149	0,017043615	0,137112723	0,733875029	0,140862854		0,076607239		0,291932275	0,064663902
abr-97	0,370310679	1,27394539	0,10408125	0,369724227	0,016408776	0,131646756	0,741461457	0,139194255		0,075651141		0,288715393	0,089464785
may-97	0,362835506	1,272361513	0,101810179	0,375318353	0,015928691	0,127245998	0,750444028	0,135811084		0,075740312		0,288799256	0,077687522
jun-97	0,357287172	1,274380279	0,108674974	0,376095629	0,015988723	0,126882371	0,759415116	0,133664699		0,073621695		0,296804827	0,072382699
jul-97	0,350978128	1,253690267	0,120697984	0,394361019	0,014313739	0,112793905	0,771018708	0,136419592		0,074747234		0,296525132	0,079633443
ago-97	0,350646054	1,251542873	0,108806323	0,38757416	0,013816795	0,108465499	0,780607282	0,132269339		0,076290038		0,291517561	0,07375166
sep-97	0,353171635	1,251600688	0,126786203	0,404677194	0,015189047	0,119286512	0,780405915	0,12705134		0,073985935		0,295594446	0,073392442
oct-97	0,346698335	1,245676534	0,120775486	0,396447439	0,014951711	0,117264118	0,787452519	0,124203172		0,072889973		0,280679279	0,051471859
nov-97	0,395114293	1,275401582	0,144309404	0,416764874	0,013203296	0,103945844	0,793161933	0,119778758		0,070527351		0,29425413	0,066835052
dic-97	0,351888739	1,253690445	0,207826318	0,476102176	0,013751332	0,108447543	0,824049961	0,120299799		0,068114394		0,289785874	0,02554544
ene-98	0,347812685	1,236584923	0,145109232	0,422142274	0,010980866	0,092164596	0,80829162	0,133727253		0,072556758		0,284212665	0,047197464
feb-98	0,34073302	1,232924963	0,145371055	0,422476356	0,006748137	0,055450018	0,835907179	0,133133875		0,075474612		0,273900776	0,008719839
mar-98	0,351235647	1,244506384	0,162199309	0,451461768	0,00640325	0,052950165	0,826477233	0,127720169		0,079623599		0,26637547	0,009488894
abr-98	0,313607738	1,192481747	0,163320688	0,473503499	0,004081397	0,0339512	0,856638223	0,122747402		0,081046754		0,263256668	0,007489572
may-98	0,304103606	1,197401136	0,176572451	0,492975704	0,003193191	0,026674623	0,874918658	0,126346343		0,080758632		0,257596871	0,016929844
jun-98	0,319283993	1,198734705	0,189802478	0,512393929	0,002127296	0,017771004	0,893736749	0,120454708		0,083033356		0,263824247	-0,010290191
jul-98	0,313404254	1,18145195	0,178910775	0,511569971	0,00098485	0,008223739	0,89898459	0,118329951		0,085897337		0,263465527	-0,003374194
ago-98	0,313193316	1,175238031	0,186050969	0,552034791	-0,000480301	-0,004024749	0,90637721	0,121725203		0,091134783		0,263450622	-0,008167508
sep-98	0,311735143	1,1674105	0,18426352	0,563479732	-0,002485612	-0,0209365	0,929740145	0,119942842		0,092596806		0,268419805	-0,027265951
oct-98	0,302963059	1,157898204	0,175005885	0,594783404	-0,008583847	-0,072496944	0,94509902	0,118622501		0,103717871		0,259062887	-0,021010922
nov-98	0,311827636	1,159494537	0,199128535	0,666972977	-0,01059546	-0,090442159	0,971510283	0,114383645		0,112849841		0,246574994	-0,008502167
dic-98	0,300485638	1,146130383	0,210436127	0,814341579	-0,026616918	-0,232632065	1,135797436	0,101065408		0,111208357		0,370515134	0,008630674
ene-99	0,313507605	1,127825634	0,144552896	0,806536534	-0,012390193	-0,128420054	1,06098841	0,104821655		0,12652632		0,332247184	0,029079996
feb-99	0,310244022	1,111508008	0,150877233	0,869033016	-0,019954424	-0,20253553	1,159316274	0,107184412		0,134739752		0,318122894	0,020889749
mar-99	0,29234742	1,096083237	0,156385613	0,948775455	-0,020271707	-0,207481305	1,170350323	0,107824732		0,145405334		0,306394342	0,035953757
abr-99	0,305550168	1,09101398	0,126012659	1,010177635	-0,023731762	-0,242935666	1,22037102	0,110829209		0,15581526		0,303748842	0,048048818
may-99	0,289036799	1,091271728	0,190702338	1,054712852	-0,024605551	-0,254979896	1,207590998	0,109682374		0,148548158		0,317536651	0,045427274
jun-99	0,284264347	1,08659973	0,165732761	1,087321556	-0,028638101	-0,299771926	1,245419632	0,106699803		0,14305045		0,347292468	0,024426418
jul-99	0,853932433	1,106247124	0,922260883	0,887244554	-0,022066403	-0,235313573	1,172867528	0,104760124	0,255331295	0,139756351	0,259594215	0,340883236	0,031622907
ago-99	0,930771931	1,109607355	1,121441126	0,84213372	-0,024405849	-0,256919856	1,198833122	0,102760686	0,284722419	0,140765845	0,18659908	0,315171196	0,022058015
sep-99	1,067518369	1,124667533	1,036020768	0,788282522	-0,024971526	-0,259636094	1,216652343	0,110657303	0,25922377	0,138474204	0,177319784	0,323733319	-5,60E-05
oct-99	1,064364294	1,113788955	1,185632548	0,826561937	-0,026943804	-0,278230335	1,24583192	0,106253246	0,290703656	0,149094947	0,167554312	0,327224489	-0,008608556
nov-99	1,065834414	1,100774562	1,318291977	0,95202639	-0,026968964	-0,278742285	1,249873559	0,112514311	0,296988131	0,170869	0,185378072	0,32818546	0,027824838
dic-99	1,080396119	1,126229835	1,30761113	0,964971931	-0,033243048	-0,346973673	1,319129424	0,104862942	0,259997617	0,144417423	0,190447906	0,342420308	0,008768281
ene-00	1,098972928	1,134311485	1,172946221	0,924411336	-0,002934325	-0,028668668	0,955556587	0,106255945	0,242902234	0,154130607	0,192856207	0,303360087	0,064571571
feb-00	1,142996707	1,175339839	1,114911448	0,864837017	-0,080743703	-0,603242969	1,824729993	0,114654414	0,229793139	0,151902897	0,2670319	0,403934722	0,03107209
mar-00	1,153268353	1,187243861	1,031882782	0,779706342	-0,05719408	-0,477791747	1,505311479	0,118615866	0,235357207	0,145348984	0,279787418	0,453023135	0,045126773
abr-00	1,16494049	1,197375771	0,999712274	0,75849497	-0,054366346	-0,468178654	1,476173008	0,113924732	0,225457085	0,140710088	0,29134664	0,466819154	0,036566172
may-00	1,174016668	1,207325862	0,930687678	0,694377429	-0,048029199	-0,427232668	1,399555391	0,113755249	0,217287576	0,119698809	0,244446896	0,443741036	0,053078933
jun-00	1,166414902	1,206331507	0,992386309	0,690688255	-0,048123124	-0,437236581	1,388317467	0,114369239	0,223549439	0,113269143	0,267800595	0,528534703	0,048639577
jul-00	1,172453917	1,207910251	0,992624297	0,731648827	-0,045878841	-0,427073656	1,365257193	0,120316436	0,223445367	0,121806525	0,268636573	0,492794599	0,045965914
ago-00	1,209140219	1,196123227	1,06317481	0,76554601	-0,041902534	-0,400491358	1,326175222	0,120486978	0,232064147	0,129298363	0,252862117	0,481943333	0,046439417
sep-00	1,146810537	1,19177996	1,05337641	0,73475711	-0,041003963	-0,397316953	1,312525967	0,12385898	0,257700607	0,134849951	0,260484986	0,497791348	0,030145317
oct-00	1,136607794	1,192312874	1,138089171	0,757201528	-0,033984638	-0,335042396	1,241831552	0,123029345	0,270963926	0,125924205	0,193365918	0,416085122	0,024549658
nov-00	1,14099577	1,200857422	1,203862204	0,788064221	-0,032146253	-0,321244204	1,19801674	0,126980148	0,274738374	0,123675219	0,19955136	0,442631789	0,021178182
dic-00	1,163674853	1,225942917	1,21818065	0,761286217	-0,033499298	-0,340293078	1,210078215	0,122167341	0,291321489	0,118509152	0,220733937	0,542612432	0,035782441
ene-01	1,125904027	1,186406172	1,228243708	0,769809245	-0,005578644	-0,056933412	0,9639706	0,125471595	0,29230594	0,123494364	0,224219729	0,530718622	0,065456147
feb-01	1,117876602	1,179560518	1,230368472	0,771641396	-0,003694997	-0,037685395	0,942495138	0,127528405	0,300027369	0,124912789	0,213656047	0,513179333	0,066958328
mar-01	1,129216311	1,185732413	1,106638229	0,706217325	0,00981709	0,102930149	0,802721693	0,126357963	0,295229833	0,123421429	0,222286611	0,531719977	0,080212317
abr-01	1,141306212	1,197228303	1,071809299	0,682601774	0,009241559	0,095074122	0,826454495	0,126298944	0,29386758	0,120569204	0,216320565	0,527245751	0,062977
may-01	1,130590741	1,191594445	1,108061357	0,682126409	0,009010622	0,091523962	0,833637312	0,124410141	0,307047497	0,116502566	0,206659172	0,544659089	0,06055087
jun-01	1,136513035	1,197288547	1,114292995	0,688111066	0,008053684	0,081016323	0,836848319	0,124362728	0,299609777	0,113703199	0,215235742	0,567149678	0,05594581
jul-01	1,136148284	1,196714058	1,108443766	0,679291751	0,007742623	0,077476484	0,841014358	0,128102533	0,297775103	0,114943365	0,227394011	0,589092507	0,06429024
ago-01	1,132394387	1,189331418	1,068653832	0,659471964	0,007202495	0,071753458	0,844608984	0,124984273	0,286669845	0,115601271	0,236200458	0,585733599	0,074647825
sep-01	1,14250087	1,199696903	1,048713657	0,64139294	0,00726436	0,072113194	0,841111416	0,124527267	0,288116995	0,114633571	0,246824687	0,620362662	0,057788138
oct-01	1,141454625	1,198955676	1,037144509	0,623151253	0,007349889	0,072773356	0,83917721	0,122207521	0,277661115	0,111893159	0,270201041	0,670499636	0,040677226
nov-01	1,155158969	1,211014858	1,022316423	0,626659994	0,007354501	0,072686228	0,837084705	0,122719489	0,281315636	0,11035257	0,261483921	0,665784286	0,04293832
dic-01	1,210142133	1,265933918	1,002014689	0,618267174	0,006711718	0,066175648	0,841416104	0,119547116	0,264599098	0,103555825	0,295740875	0,75565782	0,097260266
ene-02	1,168542901	1,213504559	0,929962975	0,614954075	0,012046613	0,122226889	0,75982375	0,127808523	0,25588763	0,112185532	0,314598862	0,717592227	0,080203922
feb-02	1,182314669	1,227407199	0,924595883	0,606186099	0,01216048	0,123957845	0,777897508	0,130996663	0,257878076	0,111975603	0,314253368	0,723720633	0,081164941
mar-02	1,184530308	1,230867679	0,966547924	0,636813084	0,013114461	0,134475606	0,772616677	0,129480487	0,265897715	0,113385651	0,311829464	0,73126309	0,093297299
abr-02	1,190754913	1,236405674	0,930716841	0,603564052	0,013598612	0,139693322	0,767114261	0,130424649	0,263435276	0,112111185	0,316074208	0,742701063	0,098258828
may-02	1,197061544	1,242922471	0,877341458	0,563514597	0,013938742	0,141724929	0,763460985	0,129861893	0,257489432	0,111945354	0,327948227	0,754325235	0,129114755
jun-02	1,212118002	1,257382755	0,893352113	0,583193198	0,014432103	0,145911284	0,763012862	0,126688713	0,24834331	0,109203544	0,331778172	0,75450747	0,147216549
jul-02	1,197619078	1,244282244	0,91834305	0,599812396	0,013364308	0,133774768	0,772408643	0,129855405	0,243823353	0,105499912	0,333353706	0,770421668	0,106987177
ago-02	1,200946126	1,246851158	0,898432065	0,576029386	0,011234763	0,111728779	0,792715896	0,120342095	0,242305091	0,103649291	0,33472077	0,782490122	0,111621902
sep-02	1,215705108	1,258332924	0,907201489	0,600892028	0,011300516	0,112449806	0,79016817	0,118268266	0,226431531	0,101624046	0,349265841	0,778209514	0,226511154
oct-02	1,198265157	1,24104887	0,913027962	0,603961779	0,01164822	0,115807327	0,782563567	0,117947772	0,22715194	0,10084312	0,347271388	0,782238488	0,217490475
nov-02	1,213940162	1,256563412	0,889375123	0,587181088	0,01242463	0,123247415	0,772637513	0,119050367	0,224890051	0,100586927	0,351734567	0,786400454	0,223094153
dic-02	1,241414162	1,287677496	0,932531052	0,612330237	0,011709651	0,115821663	0,788015726	0,117158988	0,218818015	0,095098186	0,361080795	0,830835856	0,221066017
ene-03	1,226229542	1,271296884	0,847250833	0,537242222	0,015133362	0,157622308	0,742085637	0,12398569	0,218461167	0,094679617	0,361642467	0,834443966	0,231370223
feb-03	1,224512708	1,267337922	0,815431519	0,51680293	0,016179078	0,168809946	0,738323488	0,122772055	0,211278661	0,094376235	0,368646638	0,825283695	0,23191925
mar-03	1,22424779	1,270089387	0,86837511	0,541116615	0,019231323	0,203570725	0,709183602	0,117010781	0,209581609	0,092771925	0,3653579	0,825382208	0,230688302
abr-03	1,225883909	1,266569159	0,827445253	0,542905765	0,020149141	0,212178454	0,706471482	0,117516123	0,20252646	0,090505789	0,371475184	0,831256817	0,221953514
may-03	1,228093148	1,267481446	0,768141022	0,499248548	0,021069475	0,219281632	0,699815161	0,119484468	0,199638026	0,090114747	0,3731136	0,82658683	0,213215829
